Sites,Links
"_Pilao de Plastico","https://www.lojaprolab.com.br/gral-com-pistilo-de-plastico-90132"
"Acupuntura - Siper","https://www.lojastiper.com.br/"
"Assistente de Compras do Tecnoblog - extensao chrome","https://www.google.com.br/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwimn8Xi6uDTAhXHhZAKHesLAoUQFggnMAA&url=https%3A%2F%2Fchrome.google.com%2Fwebstore%2Fdetail%2Fassistente-de-compras-do%2Fpmncamalnkoafdfdmojmhanhngjaakcb%3Fhl%3Dpt-"
"Marcenaria - Oleo Mineral","https://ironfittings.com.br/produto/gif-white-oil/?attribute_embalagem=250ml"
"Marcenaria - Tools Br","https://www.toolsbr.com.br/busca?busca=cavilhas&ordenacao=&filtro=fabricante1:MILESCRAFT"
"Rastreio - After Ship","https://www.aftership.com/couriers"
"Rastreio - Correios","http://www2.correios.com.br/sistemas/rastreamento"
"Rastreio - Global Cainiao","http://global.cainiao.com/"
"Rastreio - WEBSRO","http://www.websro.com.br/internacional.php?P_COD_UNI="
"Robo - Cozmo","https://anki.com/en-us/cozmo"
"Site - Ali Express","https://www.aliexpress.com/"
"Site - Alibaba","http://www.alibaba.com/"
"Site - Amazon","http://www.amazon.com/"
"Site - Amazon - Br","https://www.amazon.com.br/ref=nav_logo"
"Site - Americanas","https://www.americanas.com.br/"
"Site - Bang Good","https://www.banggood.com/pt"
"Site - Brinquedos - Toy Show","https://www.toyshow.com.br/"
"Site - Costura - Tudo Costura","https://www.tudocostura.com.br/loja"
"Site - DX - Deal Extreme","http://www.dx.com/"
"Site - Ferramentas - Magazine Stroebel","http://www.magazinestroebel.com.br/"
"Site - Ferramentas - Palacio das Ferramentas","http://www.palaciodasferramentas.com.br/"
"Site - Gear Best","http://www.gearbest.com/"
"Site - General Iron Fittings","https://ironfittings.com.br/"
"Site - IUPP Itau","https://www.iupp.com.br/#"
"Site - Magalu","https://www.magazineluiza.com.br/"
"Site - Mercado Livre","http://mercadolivre.com.br/"
"Site - Mercado Livre - Lista de Desejos","https://myaccount.mercadolivre.com.br/bookmarks/list"
"Site - Mercado Livre - Lista de Pedidos","https://myaccount.mercadolivre.com.br/purchases/list"
"Site - Mini In the Box","http://www.miniinthebox.com/pt"
"Site - Mini In The Box - Lista de Pedidos","https://www.miniinthebox.com/pt/index.php?main_page=account"
"Site - NERD - Nerd Store","https://www.nerdstore.com.br/"
"Site - NERD - The Lord Shopping - BB8 6","https://thelordshopping.com/"
"Site - Piticas","https://www.piticas.com.br/"
"Site - Shein","https://br.shein.com/"
"Site - Shopee","https://shopee.com.br/"
"Site - Tom Tom","http://www.tomtop.com/"
"Site - VibraShop - Placa Acustica","https://www.vibrashop.com.br/my-account/"
"Site - Wish","https://www.wish.com/#default"
